naselje;grad_opcina;zupanija;stanovnistvo
Gornja Dubrava;Gornji Mihaljevec;Međimurska županija;195
Gornja Garešnica;Berek;Bjelovarsko-bilogorska županija;118
Gornja Glina;Slunj;Karlovačka županija;106
Gornja Glogovnica;Križevci;Koprivničko-križevačka županija;93
Gornja Gračenica;Popovača;Sisačko-moslavačka županija;912
Gornja Greda;Brckovljani;Zagrebačka županija;562
Gornja Jagodnja;Polača;Zadarska županija;93
Gornja Jelenska;Popovača;Sisačko-moslavačka županija;640
Gornja Konjščina;Konjščina;Krapinsko-zagorska županija;101
Gornja Kovačica;Veliki Grđevac;Bjelovarsko-bilogorska županija;225
Gornja Krašićevica;Delnice;Primorsko-goranska županija;3
Gornja Kupčina;Jastrebarsko;Zagrebačka županija;139
Gornja Lamana Draga;Brod Moravice;Primorsko-goranska županija;0
Gornja Letina;Sunja;Sisačko-moslavačka županija;54
Gornja Lomnica;Velika Gorica;Zagrebačka županija;497
Gornja Meminska;Majur;Sisačko-moslavačka županija;9
Gornja Mlinoga;Petrinja;Sisačko-moslavačka županija;21
Gornja Motičina;Donja Motičina;Osječko-baranjska županija;27
Gornja Močila;Rakovica;Karlovačka županija;4
Gornja Obreška;Kloštar Ivanić;Zagrebačka županija;97
Gornja Obrijež;Pakrac;Požeško-slavonska županija;84
Gornja Oraovica;Dvor;Sisačko-moslavačka županija;19
Gornja Pastuša;Petrinja;Sisačko-moslavačka županija;22
Gornja Pačetina;Krapina;Krapinsko-zagorska županija;377
Gornja Petrička;Ivanska;Bjelovarsko-bilogorska županija;88
Gornja Pištana;Orahovica;Virovitičko-podravska županija;7
Gornja Plemenšćina;Pregrada;Krapinsko-zagorska županija;217
Gornja Ploča;Lovinac;Ličko-senjska županija;43
Gornja Ploščica;Velika Trnovitica;Bjelovarsko-bilogorska županija;32
Gornja Podgora;Donja Stubica;Krapinsko-zagorska županija;240
Gornja Podstrana;Podstrana;Splitsko-dalmatinska županija;129
Gornja Poljana;Varaždinske Toplice;Varaždinska županija;218
Gornja Purgarija;Klinča Sela;Zagrebačka županija;69
Gornja Pušća;Pušća;Zagrebačka županija;541
Gornja Rašenica;Grubišno Polje;Bjelovarsko-bilogorska županija;65
Gornja Reka;Jastrebarsko;Zagrebačka županija;335
Gornja Rijeka;Gornja Rijeka;Koprivničko-križevačka županija;331
Gornja Selnica;Zlatar;Krapinsko-zagorska županija;164
Gornja Stranica;Ribnik;Karlovačka županija;5
Gornja Stubica;Gornja Stubica;Krapinsko-zagorska županija;747
Gornja Stupnica;Dvor;Sisačko-moslavačka županija;27
Gornja Suvaja;Gračac;Zadarska županija;40
Gornja Topličica;Sveti Ivan Zelina;Zagrebačka županija;170
Gornja Trebinja;Karlovac;Karlovačka županija;145
Gornja Trnovitica;Velika Trnovitica;Bjelovarsko-bilogorska županija;44
Gornja Trstenica;Gvozd;Sisačko-moslavačka županija;38
Gornja Vas;Samobor;Zagrebačka županija;21
Gornja Velešnja;Donji Kukuruzari;Sisačko-moslavačka županija;56
Gornja Velika;Preseka;Zagrebačka županija;54
Gornja Velika;Sokolovac;Koprivničko-križevačka županija;75
Gornja Visočka;Slunj;Karlovačka županija;5
Gornja Višnjica;Lepoglava;Varaždinska županija;248
Gornja Vlahinička;Velika Ludina;Sisačko-moslavačka županija;256
Gornja Voća;Donja Voća;Varaždinska županija;421
Gornja Vrba;Gornja Vrba;Brodsko-posavska županija;1654
Gornja Vrijeska;Đulovac;Bjelovarsko-bilogorska županija;34
Gornja Vrućica;Trpanj;Dubrovačko-neretvanska županija;37
Gornja Zdenčina;Klinča Sela;Zagrebačka županija;138
Gornja Čemernica;Gvozd;Sisačko-moslavačka županija;88
Gornja Šemnica;Radoboj;Krapinsko-zagorska županija;568
Gornja Šumetlica;Pakrac;Požeško-slavonska županija;32
Gornja Šušnjara;Štefanje;Bjelovarsko-bilogorska županija;24
Gornja Žrvnica;Cetingrad;Karlovačka županija;3
Gornjaki;Hrašćina;Krapinsko-zagorska županija;104
Gornjaki;Preseka;Zagrebačka županija;39
Gornje Bazje;Lukač;Virovitičko-podravska županija;397
Gornje Biljane;Benkovac;Zadarska županija;173
Gornje Brezno;Hum na Sutli;Krapinsko-zagorska županija;258
Gornje Bukovlje;Generalski Stol;Karlovačka županija;189
Gornje Ceranje;Benkovac;Zadarska županija;62
Gornje Cjepidlake;Đulovac;Bjelovarsko-bilogorska županija;30
Gornje Dubrave;Ogulin;Karlovačka županija;63
Gornje Dvorišće;Brckovljani;Zagrebačka županija;61
Gornje Gnojnice;Cetingrad;Karlovačka županija;19
Gornje Igrane;Podgora;Splitsko-dalmatinska županija;3
Gornje Jame;Glina;Sisačko-moslavačka županija;0
Gornje Jesenje;Jesenje;Krapinsko-zagorska županija;669
Gornje Komarevo;Sisak;Sisačko-moslavačka županija;425
Gornje Kusonje;Voćin;Virovitičko-podravska županija;10
Gornje Ladanje;Vinica;Varaždinska županija;883
Gornje Makojišće;Novi Marof;Varaždinska županija;378
Gornje Mokrice;Petrinja;Sisačko-moslavačka županija;84
Gornje Mrzlo Polje Mrežničko;Duga Resa;Karlovačka županija;544
Gornje Obuljeno;Dubrovnik;Dubrovačko-neretvanska županija;141
Gornje Ogorje;Muć;Splitsko-dalmatinska županija;123
Gornje Orešje;Sveti Ivan Zelina;Zagrebačka županija;226
Gornje Planjane;Unešić;Šibensko-kninska županija;111
Gornje Plavnice;Bjelovar;Bjelovarsko-bilogorska županija;635
Gornje Podotočje;Velika Gorica;Zagrebačka županija;492
Gornje Pokupje;Ozalj;Karlovačka županija;150
Gornje Postinje;Muć;Splitsko-dalmatinska županija;132
Gornje Predrijevo;Sopje;Virovitičko-podravska županija;55
Gornje Prekrižje;Krašić;Zagrebačka županija;40
Gornje Prilišće;Netretić;Karlovačka županija;43
Gornje Primišlje;Slunj;Karlovačka županija;7
Gornje Psarjevo;Sveti Ivan Zelina;Zagrebačka županija;419
Gornje Raštane;Sveti Filip i Jakov;Zadarska županija;425
Gornje Rovišće;Rovišće;Bjelovarsko-bilogorska županija;75
Gornje Selište;Glina;Sisačko-moslavačka županija;52
Gornje Selo;Šolta;Splitsko-dalmatinska županija;262
Gornje Sitno;Split;Splitsko-dalmatinska županija;356
Gornje Stative;Karlovac;Karlovačka županija;393
Gornje Taborište;Glina;Sisačko-moslavačka županija;35
Gornje Taborište;Slunj;Karlovačka županija;205
Gornje Tihovo;Delnice;Primorsko-goranska županija;4
Gornje Utore;Unešić;Šibensko-kninska županija;52
Gornje Viljevo;Nova Bukovica;Virovitičko-podravska županija;17
Gornje Vinovo;Unešić;Šibensko-kninska županija;16
Gornje Vratno;Cestica;Varaždinska županija;1297
Gornje Vrhovine;Vrhovine;Ličko-senjska županija;150
Gornje Zagorje;Ogulin;Karlovačka županija;270
Gornje Zdelice;Kapela;Bjelovarsko-bilogorska županija;95
Gornji Andrijevci;Sibinj;Brodsko-posavska županija;377
Gornji Babin Potok;Vrhovine;Ličko-senjska županija;54
Gornji Bitelić;Hrvace;Splitsko-dalmatinska županija;140
Gornji Bjelovac;Donji Kukuruzari;Sisačko-moslavačka županija;39
Gornji Bogićevci;Gornji Bogićevci;Brodsko-posavska županija;538
Gornji Borki;Sirač;Bjelovarsko-bilogorska županija;0
Gornji Brgat;Župa dubrovačka;Dubrovačko-neretvanska županija;178
Gornji Budački;Krnjak;Karlovačka županija;9
Gornji Bukovac Žakanjski;Žakanje;Karlovačka županija;12
Gornji Cerovac;Slunj;Karlovačka županija;83
Gornji Crnogovci;Staro Petrovo Selo;Brodsko-posavska županija;69
Gornji Daruvar;Daruvar;Bjelovarsko-bilogorska županija;346
Gornji Desinec;Jastrebarsko;Zagrebačka županija;600
Gornji Dobretin;Dvor;Sisačko-moslavačka županija;4
Gornji Dolac;Omiš;Splitsko-dalmatinska županija;107
Gornji Draganec;Čazma;Bjelovarsko-bilogorska županija;318
Gornji Dragičevci;Čazma;Bjelovarsko-bilogorska županija;113
Gornji Dragonožec;;Grad Zagreb;308
Gornji Dubovec;Križevci;Koprivničko-križevačka županija;7
Gornji Emovci;Požega;Požeško-slavonska županija;118
Gornji Fodrovec;Sveti Petar Orehovec;Koprivničko-križevačka županija;157
Gornji Furjan;Slunj;Karlovačka županija;57
Gornji Goli Vrh Lipnički;Ribnik;Karlovačka županija;2
Gornji Grahovljani;Pakrac;Požeško-slavonska županija;9
Gornji Gučani;Brestovac;Požeško-slavonska županija;48
Gornji Hrastovac;Majur;Sisačko-moslavačka županija;85
Gornji Hrašćan;Nedelišće;Međimurska županija;773
Gornji Hruševec;Kravarsko;Zagrebačka županija;179
Gornji Humac;Pučišća;Splitsko-dalmatinska županija;276
Gornji Jalšovec;Desinić;Krapinsko-zagorska županija;64
Gornji Javoranj;Dvor;Sisačko-moslavačka županija;26
Gornji Karin;Obrovac;Zadarska županija;824
Gornji Klasnić;Glina;Sisačko-moslavačka županija;14
Gornji Kneginec;Gornji Kneginec;Varaždinska županija;1430
Gornji Koncovčak;Sveti Martin na Muri;Međimurska županija;86
Gornji Kosinj;Perušić;Ličko-senjska županija;92
Gornji Kraljevec;Hrašćina;Krapinsko-zagorska županija;333
Gornji Kraljevec;Vratišinec;Međimurska županija;518
Gornji Kremen;Slunj;Karlovačka županija;40
Gornji Kukuruzari;Donji Kukuruzari;Sisačko-moslavačka županija;25
Gornji Kuršanec;Nedelišće;Međimurska županija;797
Gornji Kuti;Brod Moravice;Primorsko-goranska županija;28
Gornji Kućan;Varaždin;Varaždinska županija;1013
Gornji Laduč;Brdovec;Zagrebačka županija;788
Gornji Lapac;Donji Lapac;Ličko-senjska županija;45
Gornji Lađevac;Slunj;Karlovačka županija;45
Gornji Lipovac;Nova Kapela;Brodsko-posavska županija;59
Gornji Lipovčani;Čazma;Bjelovarsko-bilogorska županija;71
Gornji Lović;Ozalj;Karlovačka županija;27
Gornji Ložac;Delnice;Primorsko-goranska županija;5
Gornji Macelj;Đurmanec;Krapinsko-zagorska županija;161
Gornji Marinkovac;Dubrava;Zagrebačka županija;145
Gornji Martijanec;Martijanec;Varaždinska županija;28
Gornji Maslarac;Sokolovac;Koprivničko-križevačka županija;29
Gornji Meljani;Voćin;Virovitičko-podravska županija;8
Gornji Mihaljevec;Gornji Mihaljevec;Međimurska županija;233
Gornji Miholjac;Slatina;Virovitičko-podravska županija;214
Gornji Miklouš;Čazma;Bjelovarsko-bilogorska županija;77
Gornji Mosti;Kapela;Bjelovarsko-bilogorska županija;51
Gornji Muć;Muć;Splitsko-dalmatinska županija;450
Gornji Nikšić;Slunj;Karlovačka županija;49
Gornji Okrug;Delnice;Primorsko-goranska županija;2
Gornji Oštrc;Žumberak;Zagrebačka županija;36
Gornji Oštri Vrh Ozaljski;Ozalj;Karlovačka županija;9
Gornji Poličnik;Poličnik;Zadarska županija;150
Gornji Poloj;Barilović;Karlovačka županija;0
Gornji Popovac;Slunj;Karlovačka županija;146
Gornji Prnjarovec;Križ;Zagrebačka županija;346
Gornji Proložac;Proložac;Splitsko-dalmatinska županija;262
Gornji Rogolji;Okučani;Brodsko-posavska županija;15
Gornji Selkovac;Glina;Sisačko-moslavačka županija;2
Gornji Sjeničak;Karlovac;Karlovačka županija;79
Gornji Skrad;Krnjak;Karlovačka županija;44
Gornji Slatinik;Podcrkavlje;Brodsko-posavska županija;92
Gornji Sređani;Dežanovac;Bjelovarsko-bilogorska županija;198
Gornji Stupnik;Stupnik;Zagrebačka županija;2087
Gornji Tkalec;Vrbovec;Zagrebačka županija;125
Gornji Tomaš;Bjelovar;Bjelovarsko-bilogorska županija;86
Gornji Trpuci;;Grad Zagreb;96
Gornji Turni;Delnice;Primorsko-goranska županija;9
Gornji Uljanik;Garešnica;Bjelovarsko-bilogorska županija;83
Gornji Vaganac;Plitvička Jezera;Ličko-senjska županija;86
Gornji Varoš;Stara Gradiška;Brodsko-posavska županija;189
Gornji Velemerić;Barilović;Karlovačka županija;101
Gornji Viduševac;Glina;Sisačko-moslavačka županija;373
Gornji Vinjani;Imotski;Splitsko-dalmatinska županija;1157
Gornji Vinkovec;Sveti Ivan Zelina;Zagrebačka županija;54
Gornji Vrhovci;Velika;Požeško-slavonska županija;8
Gornji Vukojevac;Lekenik;Sisačko-moslavačka županija;67
Gornji Vukšinac;Dubrava;Zagrebačka županija;136
Gornji Vukšići;Vrbovsko;Primorsko-goranska županija;0
Gornji Vučkovići;Vrbovsko;Primorsko-goranska županija;10
Gornji Zagon;Novi Vinodolski;Primorsko-goranska županija;16
Gornji Zbilj;Desinić;Krapinsko-zagorska županija;48
Gornji Zebanec;Selnica;Međimurska županija;184
Gornji Zvečaj;Generalski Stol;Karlovačka županija;159
Gornji Čaglić;Lipik;Požeško-slavonska županija;8
Gornji Čehi;;Grad Zagreb;368
Gornji Čemehovec;Kraljevec na Sutli;Krapinsko-zagorska županija;101
Gornji Šajn;Brod Moravice;Primorsko-goranska županija;15
Gornji Šehovac;Brod Moravice;Primorsko-goranska županija;0
Gornji Škrnik;Zagorska Sela;Krapinsko-zagorska županija;42
Gornji Štrbci;Donji Lapac;Ličko-senjska županija;0
Gornji Žagari;Čabar;Primorsko-goranska županija;65
Gornji Žirovac;Dvor;Sisačko-moslavačka županija;14
Goruševnjak;Vinica;Varaždinska županija;57
Goršeti;Brod Moravice;Primorsko-goranska županija;0
Goršćaki;Karlovac;Karlovačka županija;121
Goršćaki Ozaljski;Ozalj;Karlovačka županija;11
Gospić;Gospić;Ličko-senjska županija;6362
Gostenje;Desinić;Krapinsko-zagorska županija;71
Gostinjac;Dobrinj;Primorsko-goranska županija;94
Gostović;Vrbovec;Zagrebačka županija;117
Gotalovec;Budinščina;Krapinsko-zagorska županija;139
Gotalovo;Gola;Koprivničko-križevačka županija;281
Goveđari;Mljet;Dubrovačko-neretvanska županija;138
Goveđe Polje;Dežanovac;Bjelovarsko-bilogorska županija;73
Gošić;Kistanje;Šibensko-kninska županija;21
Grab;Gračac;Zadarska županija;35
Grab;Trilj;Splitsko-dalmatinska županija;523
Grabarak;Jastrebarsko;Zagrebačka županija;3
Grabarje;Kutjevo;Požeško-slavonska županija;400
Grabarje;Podcrkavlje;Brodsko-posavska županija;251
Grabarska;Cetingrad;Karlovačka županija;134
Grabe;Bedekovčina;Krapinsko-zagorska županija;391
Graberanec;Vrbovec;Zagrebačka županija;1
Graberec;Dubrava;Zagrebačka županija;217
Graberje;Petrinja;Sisačko-moslavačka županija;107
Graberje Ivanićko;Ivanić-Grad;Zagrebačka županija;548
Graberšćak;Vrbovec;Zagrebačka županija;43
Grabik;Čazma;Bjelovarsko-bilogorska županija;55
Grabić;Sopje;Virovitičko-podravska županija;105
Grabovac;Rakovica;Karlovačka županija;309
Grabovac;Čeminac;Osječko-baranjska županija;736
Grabovac;Šestanovac;Splitsko-dalmatinska županija;321
Grabovac Banski;Petrinja;Sisačko-moslavačka županija;127
Grabovac Krnjački;Krnjak;Karlovačka županija;58
Grabovac Vojnićki;Krnjak;Karlovačka županija;42
Grabovci;Vodice;Šibensko-kninska županija;75
Grabovica;Dvor;Sisačko-moslavačka županija;10
Grabovnica;Čazma;Bjelovarsko-bilogorska županija;326
Grabovo;Tompojevci;Vukovarsko-srijemska županija;0
Grabovo – dio (Ovčara, Jakobovac);Vukovar;Vukovarsko-srijemska županija;0
Graboštani;Majur;Sisačko-moslavačka županija;91
Grabrić;Gradec;Zagrebačka županija;84
Grabričina;Velika Ludina;Sisačko-moslavačka županija;17
Grabrk;Bosiljevo;Karlovačka županija;87
Grabrov Potok;Velika Ludina;Sisačko-moslavačka županija;97
Grabrova;Mošćenička Draga;Primorsko-goranska županija;6
Grabrovnica;Pitomača;Virovitičko-podravska županija;357
Grabrovnik;Štrigova;Međimurska županija;240
Grabušić;Udbina;Ličko-senjska županija;49
Gradac;Gradac;Splitsko-dalmatinska županija;989
Gradac;Pleternica;Požeško-slavonska županija;789
Gradac;Ružić;Šibensko-kninska županija;275
Gradac Našički;Našice;Osječko-baranjska županija;135
Gradec;Gradec;Zagrebačka županija;403
Gradec Pokupski;Pisarovina;Zagrebačka županija;106
Gradečki Pavlovec;Gradec;Zagrebačka županija;377
Gradina;Gradina;Virovitičko-podravska županija;730
Gradina;Vrsar – Orsera;Istarska županija;44
Gradina;Šibenik;Šibensko-kninska županija;258
Gradina Korenička;Plitvička Jezera;Ličko-senjska županija;67
Gradinje;Cerovlje;Istarska županija;33
Gradinje – Gradigne;Oprtalj – Portole;Istarska županija;109
Gradići;Velika Gorica;Zagrebačka županija;1871
Gradište;Gradište;Vukovarsko-srijemska županija;2227
Gradište;Kutjevo;Požeško-slavonska županija;94
Gradišće;Generalski Stol;Karlovačka županija;42
Gradišće;Žminj;Istarska županija;45
Gradiščak;Sveti Martin na Muri;Međimurska županija;159
Gradna;Samobor;Zagrebačka županija;541
Gradski Vrhovci;Požega;Požeško-slavonska županija;16
Gradusa Posavska;Sunja;Sisačko-moslavačka županija;65
Gramalj;Skrad;Primorsko-goranska županija;0
Grana;Novi Marof;Varaždinska županija;492
Grandić Breg;Ozalj;Karlovačka županija;37
Grandići;Barban;Istarska županija;122
Granice;Našice;Osječko-baranjska županija;53
Granje;Jakšić;Požeško-slavonska županija;65
Grančari;;Grad Zagreb;254
Gračac;Gračac;Zadarska županija;2060
Gračac;Skradin;Šibensko-kninska županija;159
Gračac Slavetički;Jastrebarsko;Zagrebačka županija;0
Gračanica Šišinečka;Glina;Sisačko-moslavačka županija;17
Gračec;Brckovljani;Zagrebačka županija;915
Gračina;Križevci;Koprivničko-križevačka županija;177
Gračišće;Gračišće;Istarska županija;418
Grbajel;Delnice;Primorsko-goranska županija;11
Grbavac;Grubišno Polje;Bjelovarsko-bilogorska županija;145
Grbavac;Župa dubrovačka;Dubrovačko-neretvanska županija;89
Grbaševec;Rasinja;Koprivničko-križevačka županija;20
Grbe;Nin;Zadarska županija;173
Grdak;Sokolovac;Koprivničko-križevačka županija;70
Grdanjci;Samobor;Zagrebačka županija;318
Grdenci;Zabok;Krapinsko-zagorska županija;439
Grdoselo;Pazin;Istarska županija;128
Grdun;Ozalj;Karlovačka županija;118
Grebaštica;Šibenik;Šibensko-kninska županija;890
Greda;Maruševec;Varaždinska županija;507
Greda;Sisak;Sisačko-moslavačka županija;763
Greda;Vrbovec;Zagrebačka županija;99
Greda Breška;Ivanić-Grad;Zagrebačka županija;164
Greda Sunjska;Sunja;Sisačko-moslavačka županija;278
Gredenec;Petrovsko;Krapinsko-zagorska županija;76
Gredice;Klanjec;Krapinsko-zagorska županija;327
Gregurić Breg;Samobor;Zagrebačka županija;106
Gregurovec;Krapinske Toplice;Krapinsko-zagorska županija;115
Gregurovec;Mihovljan;Krapinsko-zagorska županija;303
Gregurovec;Sveti Petar Orehovec;Koprivničko-križevačka županija;203
Gređani;Stara Gradiška;Brodsko-posavska županija;105
Gređani;Topusko;Sisačko-moslavačka županija;253
Grešćevina;Varaždinske Toplice;Varaždinska županija;127
Grganjica;Duga Resa;Karlovačka županija;16
Grgetići;Žumberak;Zagrebačka županija;0
Grginac;Veliko Trojstvo;Bjelovarsko-bilogorska županija;171
Grgurevići;Sibinj;Brodsko-posavska županija;98
Grgurice;Posedarje;Zadarska županija;148
Grimalda;Cerovlje;Istarska županija;75
Grič;Žumberak;Zagrebačka županija;7
Griče;Ribnik;Karlovačka županija;43
Grižane-Belgrad;Vinodolska općina;Primorsko-goranska županija;818
Grižići;Sibinj;Brodsko-posavska županija;93
Grkaveščak;Sveti Martin na Muri;Međimurska županija;89
Grkine;Đurđevac;Koprivničko-križevačka županija;121
Grletinec;Hum na Sutli;Krapinsko-zagorska županija;192
Grmov;Cres;Primorsko-goranska županija;2
Grmušani;Dvor;Sisačko-moslavačka županija;57
Grobnik;Pićan;Istarska županija;8
Grobnik;Slunj;Karlovačka županija;10
Grobnik;Čavle;Primorsko-goranska županija;414
Grohot;Desinić;Krapinsko-zagorska županija;15
Grohote;Šolta;Splitsko-dalmatinska županija;440
Gromača;Dubrovnik;Dubrovačko-neretvanska županija;149
Gromačnik;Sibinj;Brodsko-posavska županija;442
Gromin Dolac;Jelsa;Splitsko-dalmatinska županija;6
Grožnjan – Grisignana;Grožnjan – Grisignana;Istarska županija;142
Grtovec;Budinščina;Krapinsko-zagorska županija;299
Grubine;Podbablje;Splitsko-dalmatinska županija;803
